Group,color,dots,Date Day 0,Generation,Name,PG_avg,Biol_Reps,Day_N,Set,GI_R1,PG_DayN_R1,PG_DayNStD_R1,GI_R2,PG_D5_R2,PG_D5StD_R2,GI_R3,PG_D5_R3,PG_D5StD_R3,Total Seed,AR,ABA,Stdev btwn biol reps,Primer6,P20,P34,MKK3,P29
ERA8-g,P,L,2.02.2015,BC3F3,5.2.88,35,2,5,1-300 5.2 set 2,0.173333333,36.66666667,5.773502692,0.186666667,33.33333333,11.54700538,-,-,-,-,-,2,2.357022604,B,B,-,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.183,51.66666667,2,5,1-300 5.2 set 3,0.186666667,43.33333333,28.86751346,0.266666667,60,10,-,-,-,-,-,2,11.78511302,B,B,-,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.265,1.666666667,2,5,1-300 5.2 set 4,0,0,0,0.006666667,3.333333333,5.773502692,-,-,-,-,-,2,2.357022604,B,B,-,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.275,26.66666667,2,5,1-300 5.2 set 4,0.08,16.66666667,15.27525232,0.153333333,36.66666667,5.773502692,-,-,-,-,-,2,14.14213562,B,B,-,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.292,0,2,5,1-300 5.2 set 4,0,0,0,0,0,0,-,-,-,-,-,2,0,B,B,-,B,B
ERA8-g,P,L,7.13.2017,BC3F3,5.1.444,13.33333333,1,4,Random100,0.14,13.33333333,5.773502692,-,-,-,-,-,-,30,42d,10uM,-,B,B,-,B,B
ERA8-g,P,L,7.13.2017,BC3F3,5.1.448,10,1,4,Random100,0.14,10,0,-,-,-,-,-,-,30,42d,10uM,-,B,B,-,B,B
ERA8-g,P,L,7.20.2017,BC3F3,5.1.499,10,1,4,Remaining 5.1,0.173333333,10,10,-,-,-,-,-,-,30,59d,10uM,-,B,B,-,B,B
I,G,B,12.03.2018,BC3F4,X5.5.55.4,10.34482759,1,5,F4 Hetes,,10.34482759,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.137.7,17.24137931,1,5,F4 Hetes,,17.24137931,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,X5.5.55.7,17.24137931,1,5,F4 Hetes,,17.24137931,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.952.7,25,1,5,F4 Hetes,,25,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,X5.5.55.10,30,1,5,F4 Hetes,,30,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,X5.5.55.5,31.25,1,5,F4 Hetes,,31.25,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,X5.5.55.3,34.375,1,5,F4 Hetes,,34.375,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.952.12,41.93548387,1,5,F4 Hetes,,41.93548387,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.952.5,44.82758621,1,5,F4 Hetes,,44.82758621,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.952.11,45.16129032,1,5,F4 Hetes,,45.16129032,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,X5.5.55.1,48.27586207,1,5,F4 Hetes,,48.27586207,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,X5.5.55.8,51.72413793,1,5,F4 Hetes,,51.72413793,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,X5.5.55.2,51.85185185,1,5,F4 Hetes,,51.85185185,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.234.7,53.33333333,1,5,F4 Hetes,,53.33333333,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.137.2,58.06451613,1,5,F4 Hetes,,58.06451613,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.234.1,60,1,5,F4 Hetes,,60,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.234.11,60,1,5,F4 Hetes,,60,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.231.7,70,1,5,F4 Hetes,,70,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.137.8,72.4137931,1,5,F4 Hetes,,72.4137931,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.222.6,73.33333333,1,5,F4 Hetes,,73.33333333,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,X5.5.55.9,78.125,1,5,F4 Hetes,,78.125,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.222.10,80.64516129,1,5,F4 Hetes,,80.64516129,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.137.3,82.75862069,1,5,F4 Hetes,,82.75862069,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.231.12,95.45454545,1,5,F4 Hetes,,95.45454545,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.234.9,96.55172414,1,5,F4 Hetes,,96.55172414,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
I,G,B,12.03.2018,BC3F4,5.2.234.10,-,1,5,F4 Hetes,,-,,-,-,-,-,-,-,,49d,2,-,A,A,-,A,B
II,B,L,12.03.2018,BC3F4,5.2.51.9,60,1,5,F4 Hetes,,60,,-,-,-,-,-,-,,49d,2,-,A,A,-,B,B
II,B,L,12.03.2018,BC3F4,5.2.98.10,20,1,5,F4 Hetes,,20,,-,-,-,-,-,-,,49d,2,-,A,A,-,B,B
II,B,L,12.03.2018,BC3F4,5.2.98.8,24.13793103,1,5,F4 Hetes,,24.13793103,,-,-,-,-,-,-,,49d,2,-,A,A,-,B,B
III,P,L,12.03.2018,BC3F4,5.1.460.11,38.70967742,1,5,F4 Hetes,,38.70967742,,-,-,-,-,-,-,,49d,2,-,A,B,-,B,B
III,P,L,12.03.2018,BC3F4,5.1.460.3,6.896551724,1,5,F4 Hetes,,6.896551724,,-,-,-,-,-,-,,49d,2,-,A,B,-,B,B
III,P,L,12.03.2018,BC3F4,5.1.460.6,29.62962963,1,5,F4 Hetes,,29.62962963,,-,-,-,-,-,-,,49d,2,-,A,B,-,B,B
III,P,L,12.03.2018,BC3F4,5.1.481.11,25.92592593,1,5,F4 Hetes,,25.92592593,,-,-,-,-,-,-,,49d,2,-,A,B,-,B,B
III,P,L,12.03.2018,BC3F4,5.1.481.7,16.66666667,1,5,F4 Hetes,,16.66666667,,-,-,-,-,-,-,,49d,2,-,A,B,-,B,B
III,P,L,12.03.2018,BC3F4,5.1.497.12,0,1,5,F4 Hetes,,0,,-,-,-,-,-,-,,49d,2,-,A,B,-,B,B
III,P,L,12.03.2018,BC3F4,5.1.497.3,52.17391304,1,5,F4 Hetes,,52.17391304,,-,-,-,-,-,-,,49d,2,-,A,B,-,B,B
III,P,L,12.03.2018,BC3F4,5.1.497.5,25.92592593,1,5,F4 Hetes,,25.92592593,,-,-,-,-,-,-,,49d,2,-,A,B,-,B,B
III,P,L,12.03.2018,BC3F4,5.1.539.10,13.33333333,1,5,F4 Hetes,,13.33333333,,-,-,-,-,-,-,,49d,2,-,A,B,-,B,B
